0,1,2,3
,5.2,Arithmetic Progressions,51
,5.3,n th Term of an AP,56
,5.4,Sum of First n Terms of an AP,63
,5.5,Summary,72
6.,Triangles,Triangles,73
,6.1,Introduction,73
,6.2,Similar Figures,74
,6.3,Similarity of Triangles,79
,6.4,Criteria for Similarity of Triangles,85
,6.5,Summary,97
7.,Coordinate Geometry,Coordinate Geometry,99
,7.1,Introduction,99
,7.2,Distance Formula,100
,7.3,Section Formula,106
,7.4,Summary,112
8.,Introduction to Trigonometry,Introduction to Trigonometry,113
,8.1,Introduction,113
,8.2,Trigonometric Ratios,114
,8.3,Trigonometric Ratios of Some SpecificAngles,121
,8.4,Trigonometric Identities,128
,8.5,Summary,132
9.,Some Applications of Trigonometry,Some Applications of Trigonometry,133
,9.1,Heights and Distances,133
,9.2,Summary,143
10.,Circles,Circles,144
,10.1 Introduction,10.1 Introduction,144
,10.2,Tangent to a Circle,145
,10.3,Number of Tangents from a Point on a Circle,147
,10.4,Summary,153
11.,Areas Related to Circles,Areas Related to Circles,154
,11.1,Areas of Sector and Segment of a Circle,154
,11.2 Summary,11.2 Summary,160
