0,1,2
Foreword,Foreword,iii
Rationalisation of Content in the Textbooks,Rationalisation of Content in the Textbooks,v
Preface,Preface,vii
Chapter 1,Chemical Reactions and Equations,1
Chapter 2,"Acids, Bases and Salts",17
Chapter 3,Metals and Non-metals,37
Chapter 4,Carbon and its Compounds,58
Chapter 5,Life Processes,79
Chapter 6,Control and Coordination,100
Chapter 7,How do Organisms Reproduce?,113
Chapter 8,Heredity,128
Chapter 9,Light - Reflection and Refraction,134
Chapter 10,The Human Eye and the Colourful World,161
Chapter 11,Electricity,171
Chapter 12,Magnetic Effects of Electric Current,195
Chapter 13,Our Environment,208
,Answers,218-219
